Symbol,Date,Open,High,Low,Close,Volume
AAIT,22-Jan-2015,34.32,34.48,34.32,34.48,200
AAL,22-Jan-2015,54.55,55.82,53.91,55.59,16201000
AAME,22-Jan-2015,3.82,4,3.82,4,6800
AAOI,22-Jan-2015,8.79,9.06,8.61,8.98,172500
AAON,22-Jan-2015,21.7,22.6,21.6,22.53,117600
AAPL,22-Jan-2015,110.26,112.47,109.72,112.4,53796400
AAVL,22-Jan-2015,41.64,43.51,37.01,43.29,761000
AAWW,22-Jan-2015,46.27,47.55,45.94,47.45,185700
AAXJ,22-Jan-2015,63.28,64.02,62.96,63.9,3442800
ABAC,22-Jan-2015,1.5,1.5,1.4,1.49,5100
ABAX,22-Jan-2015,59.53,60.38,58.72,59.4,551300
ABCB,22-Jan-2015,23.19,24.59,23.14,24.59,75900
ABCD,22-Jan-2015,2.3,2.36,2.21,2.3,52900
ABCO,22-Jan-2015,44,45.56,43,45.33,2161500
ABCW,22-Jan-2015,34.7,34.75,33.5,34.75,6300
ABDC,22-Jan-2015,12.83,12.99,12.77,12.86,23800
ABGB,22-Jan-2015,16.35,16.35,15.99,16.23,39100
ABIO,22-Jan-2015,0.71,0.73,0.7,0.71,185600
ABMD,22-Jan-2015,38.16,39,37.48,38.94,276200
ABTL,22-Jan-2015,9.21,9.59,9.06,9.41,71700
ABY,22-Jan-2015,32.44,32.62,32,32.54,559300
ACAD,22-Jan-2015,32.71,32.73,31.4,32.57,932100
ACAS,22-Jan-2015,14.41,14.57,14.27,14.56,1024600
ACAT,22-Jan-2015,33.83,34.09,32.5,32.77,301900
ACET,22-Jan-2015,19.86,20.06,19.7,19.92,121100
ACFC,22-Jan-2015,3.91,3.91,3.72,3.75,20400
ACFN,22-Jan-2015,0.6,0.6,0.48,0.5,117900
ACGL,22-Jan-2015,59.37,59.92,58.69,59.67,420300
ACHC,22-Jan-2015,58.68,59.92,58.05,59.39,295700
ACHN,22-Jan-2015,15.02,15.72,14.7,15.48,5961500
ACIW,22-Jan-2015,18.32,18.81,18.16,18.79,358200
ACLS,22-Jan-2015,2.45,2.53,2.43,2.52,330600
ACNB,22-Jan-2015,20,20.98,20,20.62,6700
ACOR,22-Jan-2015,43.28,43.85,42.13,43.55,698400
ACPW,22-Jan-2015,1.77,1.79,1.77,1.77,28400
ACRX,22-Jan-2015,6.53,6.68,6.31,6.51,323400
ACSF,22-Jan-2015,12.28,12.39,12.22,12.24,20800
ACST,22-Jan-2015,0.48,0.48,0.44,0.46,31800
ACTA,22-Jan-2015,17.22,17.22,16.03,16.93,91700
ACTG,22-Jan-2015,13.53,13.73,13.2,13.52,791500
ACTS,22-Jan-2015,1.92,1.98,1.91,1.98,14700
ACUR,22-Jan-2015,0.6,0.6,0.57,0.58,41400
ACWI,22-Jan-2015,58.59,59.19,58.27,59.12,2468700
ACWX,22-Jan-2015,43.28,43.66,43.17,43.55,682400
ACXM,22-Jan-2015,18.24,18.98,18,18.96,458900
ADAT,22-Jan-2015,0.75,0.76,0.74,0.75,10700
ADBE,22-Jan-2015,71.9,73.65,70.9,73.48,2178500
ADEP,22-Jan-2015,8.79,8.79,8.28,8.42,83600
ADES,22-Jan-2015,19.62,20.03,19.26,19.79,67600
ADHD,22-Jan-2015,6.83,6.83,6.29,6.53,213300
ADI,22-Jan-2015,54.71,54.76,53.22,54.75,2555700
ADMA,22-Jan-2015,10.9,11.31,10.9,10.99,2400
ADMP,22-Jan-2015,6.01,6.16,5.87,5.94,129600
ADMS,22-Jan-2015,16.62,16.92,16.13,16.79,83700
ADNC,22-Jan-2015,4.02,4.22,3.8,4.2,88600
ADP,22-Jan-2015,85,86.79,84,86.61,1980000
ADRA,22-Jan-2015,29.27,29.38,29.16,29.32,1200
ADRD,22-Jan-2015,22.48,22.7,22.48,22.7,13200
ADRE,22-Jan-2015,37.14,37.56,37,37.56,5800
ADRU,22-Jan-2015,22.41,22.58,22.34,22.55,4800
ADSK,22-Jan-2015,57.89,58.63,56.97,58.27,1602100
ADTN,22-Jan-2015,23.19,23.43,22.67,22.85,898000
ADUS,22-Jan-2015,22.34,22.71,21.89,22.66,31000
ADVS,22-Jan-2015,37.36,37.81,36.2,36.39,1565500
ADXS,22-Jan-2015,7.93,8.29,6.8,7.43,7758600
ADXSW,22-Jan-2015,5.9,5.9,3.25,4.17,233700
